grouping,metric,f_statistic,p_value,significant(p_value<0.05)
sampler,clip_score,0.0,1.0,False
sampler,piqe,31.7584,0.0,True
sampler,ssim,26.9872,0.0,True
sampler,optical_flow_consistency,0.5814,0.559237,False
sampler,warping_error,61.8066,0.0,True
sampler,flicker_index,19.4973,0.0,True
sampler,generation_time,0.0366,0.9641,False
resolution,clip_score,0.0,1.0,False
resolution,piqe,63.1046,0.0,True
resolution,ssim,203.3396,0.0,True
resolution,optical_flow_consistency,296.2171,0.0,True
resolution,warping_error,31.9427,0.0,True
resolution,flicker_index,163.8129,0.0,True
resolution,generation_time,465.8257,0.0,True
frames,clip_score,inf,0.0,True
frames,piqe,472.6175,0.0,True
frames,ssim,18.5178,0.0,True
frames,optical_flow_consistency,12.0135,0.0,True
frames,warping_error,90.152,0.0,True
frames,flicker_index,28.6638,0.0,True
frames,generation_time,207.5073,0.0,True
steps,clip_score,0.0,1.0,False
steps,piqe,0.225,0.798556,False
steps,ssim,3.6925,0.025106,True
steps,optical_flow_consistency,2.5392,0.079224,False
steps,warping_error,12.9789,3e-06,True
steps,flicker_index,3.2497,0.039023,True
steps,generation_time,12.0171,7e-06,True
seed,clip_score,0.0,1.0,False
seed,piqe,1.6679,0.188955,False
seed,ssim,3.1496,0.043115,True
seed,optical_flow_consistency,12.8309,3e-06,True
seed,warping_error,0.0723,0.930294,False
seed,flicker_index,12.6118,4e-06,True
seed,generation_time,0.0039,0.996147,False
strength,clip_score,0.0,1.0,False
strength,piqe,0.0,1.0,False
strength,ssim,0.0,1.0,False
strength,optical_flow_consistency,0.0,1.0,False
strength,warping_error,0.0,1.0,False
strength,flicker_index,0.0,1.0,False
strength,generation_time,0.0273,0.993916,False
