grouping,group1,group2,metric,t_statistic,p_value,significant(p_value<0.05)
sampler,DDIM_Gaussian,DDIM,clip_score,0.0,1.0,False
sampler,DDIM_Gaussian,DDIM,piqe,7.5209,0.0,True
sampler,DDIM_Gaussian,DDIM,ssim,-5.764,0.0,True
sampler,DDIM_Gaussian,DDIM,optical_flow_consistency,0.9734,0.330554,False
sampler,DDIM_Gaussian,DDIM,warping_error,-8.0505,0.0,True
sampler,DDIM_Gaussian,DDIM,flicker_index,3.017,0.00261,True
sampler,DDIM_Gaussian,DDIM,generation_time,-0.1095,0.91284,False
sampler,DDIM_Gaussian,UniPC,clip_score,0.0,1.0,False
sampler,DDIM_Gaussian,UniPC,piqe,1.8823,0.06006,False
sampler,DDIM_Gaussian,UniPC,ssim,-6.854,0.0,True
sampler,DDIM_Gaussian,UniPC,optical_flow_consistency,-0.0558,0.955497,False
sampler,DDIM_Gaussian,UniPC,warping_error,-10.2651,0.0,True
sampler,DDIM_Gaussian,UniPC,flicker_index,6.1953,0.0,True
sampler,DDIM_Gaussian,UniPC,generation_time,0.1608,0.872303,False
sampler,DDIM,UniPC,clip_score,0.0,1.0,False
sampler,DDIM,UniPC,piqe,-6.1202,0.0,True
sampler,DDIM,UniPC,ssim,-0.8861,0.37577,False
sampler,DDIM,UniPC,optical_flow_consistency,-0.9595,0.337501,False
sampler,DDIM,UniPC,warping_error,-2.2936,0.021995,True
sampler,DDIM,UniPC,flicker_index,3.2672,0.001119,True
sampler,DDIM,UniPC,generation_time,0.2671,0.789427,False
resolution,256x256,256x512,clip_score,0.0,1.0,False
resolution,256x256,256x512,piqe,-10.1599,0.0,True
resolution,256x256,256x512,ssim,-18.0008,0.0,True
resolution,256x256,256x512,optical_flow_consistency,19.1646,0.0,True
resolution,256x256,256x512,warping_error,5.7462,0.0,True
resolution,256x256,256x512,flicker_index,13.065,0.0,True
resolution,256x256,256x512,generation_time,-19.7515,0.0,True
resolution,256x256,512x256,clip_score,0.0,1.0,False
resolution,256x256,512x256,piqe,-12.0632,0.0,True
resolution,256x256,512x256,ssim,-6.2582,0.0,True
resolution,256x256,512x256,optical_flow_consistency,0.615,0.538732,False
resolution,256x256,512x256,warping_error,8.7903,0.0,True
resolution,256x256,512x256,flicker_index,11.2848,0.0,True
resolution,256x256,512x256,generation_time,-18.2218,0.0,True
resolution,256x256,512x512,clip_score,0.0,1.0,False
resolution,256x256,512x512,piqe,-9.6921,0.0,True
resolution,256x256,512x512,ssim,-24.3024,0.0,True
resolution,256x256,512x512,optical_flow_consistency,26.3688,0.0,True
resolution,256x256,512x512,warping_error,8.2311,0.0,True
resolution,256x256,512x512,flicker_index,17.554,0.0,True
resolution,256x256,512x512,generation_time,-25.0541,0.0,True
resolution,256x512,512x256,clip_score,0.0,1.0,False
resolution,256x512,512x256,piqe,-3.0534,0.002336,True
resolution,256x512,512x256,ssim,8.6256,0.0,True
resolution,256x512,512x256,optical_flow_consistency,-16.1641,0.0,True
resolution,256x512,512x256,warping_error,2.8545,0.004415,True
resolution,256x512,512x256,flicker_index,-3.1983,0.001433,True
resolution,256x512,512x256,generation_time,-0.6785,0.497639,False
resolution,256x512,512x512,clip_score,0.0,1.0,False
resolution,256x512,512x512,piqe,1.4056,0.160204,False
resolution,256x512,512x512,ssim,-7.9477,0.0,True
resolution,256x512,512x512,optical_flow_consistency,9.3517,0.0,True
resolution,256x512,512x512,warping_error,2.5814,0.010006,True
resolution,256x512,512x512,flicker_index,7.1024,0.0,True
resolution,256x512,512x512,generation_time,-20.492,0.0,True
resolution,512x256,512x512,clip_score,0.0,1.0,False
resolution,512x256,512x512,piqe,4.488,8e-06,True
resolution,512x256,512x512,ssim,-14.5738,0.0,True
resolution,512x256,512x512,optical_flow_consistency,22.1701,0.0,True
resolution,512x256,512x512,warping_error,-0.1422,0.886969,False
resolution,512x256,512x512,flicker_index,10.7064,0.0,True
resolution,512x256,512x512,generation_time,-20.1608,0.0,True
frames,30,60,clip_score,inf,0.0,True
frames,30,60,piqe,-26.7826,0.0,True
frames,30,60,ssim,6.8416,0.0,True
frames,30,60,optical_flow_consistency,-2.8299,0.004771,True
frames,30,60,warping_error,8.714,0.0,True
frames,30,60,flicker_index,-0.1098,0.912616,False
frames,30,60,generation_time,-17.1682,0.0,True
frames,30,90,clip_score,inf,0.0,True
frames,30,90,piqe,-38.6789,0.0,True
frames,30,90,ssim,1.2788,0.201306,False
frames,30,90,optical_flow_consistency,-1.5138,0.13047,False
frames,30,90,warping_error,15.0489,0.0,True
frames,30,90,flicker_index,-5.6434,0.0,True
frames,30,90,generation_time,-18.3641,0.0,True
frames,30,120,clip_score,inf,0.0,True
frames,30,120,piqe,-40.7171,0.0,True
frames,30,120,ssim,2.791,0.005372,True
frames,30,120,optical_flow_consistency,-5.5106,0.0,True
frames,30,120,warping_error,14.1661,0.0,True
frames,30,120,flicker_index,-6.3974,0.0,True
frames,30,120,generation_time,-19.6567,0.0,True
frames,60,90,clip_score,inf,0.0,True
frames,60,90,piqe,-5.0944,0.0,True
frames,60,90,ssim,-5.6519,0.0,True
frames,60,90,optical_flow_consistency,1.2448,0.213537,False
frames,60,90,warping_error,5.1074,0.0,True
frames,60,90,flicker_index,-6.7082,0.0,True
frames,60,90,generation_time,-11.7953,0.0,True
frames,60,120,clip_score,inf,0.0,True
frames,60,120,piqe,-3.8674,0.000119,True
frames,60,120,ssim,-3.9491,8.5e-05,True
frames,60,120,optical_flow_consistency,-2.8731,0.004171,True
frames,60,120,warping_error,4.0622,5.3e-05,True
frames,60,120,flicker_index,-7.2251,0.0,True
frames,60,120,generation_time,-15.3668,0.0,True
frames,90,120,clip_score,inf,0.0,True
